cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
ABADIA DE GOIÁS,GO,Centro-Oeste,5200050,8207,0,0,1,0,0,Um,1,12.1847203606677
ABADIA DOS DOURADOS,MG,Sudeste,3100104,7059,0,0,0,0,1,Um,1,14.1663125088539
ABADIÂNIA,GO,Centro-Oeste,5200100,18775,0,0,0,0,0,Nenhum,0,0
ABAETÉ,MG,Sudeste,3100203,23611,1,0,1,0,1,Vários,3,12.7059421456101
ABAETETUBA,PA,Norte,1500107,153380,0,0,2,0,1,Vários,3,1.95592645716521
ABAIARA,CE,Nordeste,2300101,11605,0,0,0,0,0,Nenhum,0,0
ABAÍRA,BA,Nordeste,2900108,9199,0,0,1,0,0,Um,1,10.8707468203066
ABARÉ,BA,Nordeste,2900207,20189,0,0,1,0,0,Um,1,4.95319233245827
ABATIÁ,PR,Sul,4100103,7768,0,0,0,0,0,Nenhum,0,0
ABDON BATISTA,SC,Sul,4200051,2604,0,0,0,0,1,Um,1,38.4024577572965
ABEL FIGUEIREDO,PA,Norte,1500131,7231,0,0,0,0,1,Um,1,13.8293458719403
ABELARDO LUZ,SC,Sul,4200101,17847,2,0,1,0,1,Vários,4,22.4127304308847
ABRE CAMPO,MG,Sudeste,3100302,13733,1,0,1,0,1,Vários,3,21.8451904172431
ABREU E LIMA,PE,Nordeste,2600054,99364,0,0,0,0,0,Nenhum,0,0
ABREULÂNDIA,TO,Norte,1700251,2571,0,0,0,0,0,Nenhum,0,0
ACAIACA,MG,Sudeste,3100401,4065,0,0,0,0,1,Um,1,24.60024600246
AÇAILÂNDIA,MA,Nordeste,2100055,111339,1,0,4,0,3,Vários,8,7.18526302553463
ACAJUTIBA,BA,Nordeste,2900306,15727,0,0,0,0,1,Um,1,6.35849176575316
ACARÁ,PA,Norte,1500206,54096,0,0,0,0,0,Nenhum,0,0
ACARAPE,CE,Nordeste,2300150,16543,0,0,0,0,0,Nenhum,0,0
ACARAÚ,CE,Nordeste,2300200,62199,0,0,1,0,0,Um,1,1.60774288975707
ACARI,RN,Nordeste,2400109,11333,0,0,0,0,0,Nenhum,0,0
ACAUÃ,PI,Nordeste,2200053,6966,0,0,0,0,0,Nenhum,0,0
ACEGUÁ,RS,Sul,4300034,4759,0,0,0,0,0,Nenhum,0,0
ACOPIARA,CE,Nordeste,2300309,53572,1,0,2,0,1,Vários,4,7.46658702307175
ACORIZAL,MT,Centro-Oeste,5100102,5269,0,0,0,0,0,Nenhum,0,0
ACRELÂNDIA,AC,Norte,1200013,14366,0,0,0,0,0,Nenhum,0,0
ACREÚNA,GO,Centro-Oeste,5200134,22076,0,0,1,0,0,Um,1,4.52980612429788
AÇU,RN,Nordeste,2400208,58183,1,0,2,0,0,Vários,3,5.15614526579929
AÇUCENA,MG,Sudeste,3100500,9997,0,0,0,0,0,Nenhum,0,0
ADAMANTINA,SP,Sudeste,3500105,35139,4,0,5,0,1,Vários,10,28.4584080366544
ADELÂNDIA,GO,Centro-Oeste,5200159,2564,0,0,0,0,0,Nenhum,0,0
ADOLFO,SP,Sudeste,3500204,3609,0,0,0,0,0,Nenhum,0,0
ADRIANÓPOLIS,PR,Sul,4100202,6254,0,0,0,0,1,Um,1,15.9897665494084
ADUSTINA,BA,Nordeste,2900355,17349,0,0,0,0,0,Nenhum,0,0
AFOGADOS DA INGAZEIRA,PE,Nordeste,2600104,37017,0,0,1,0,0,Um,1,2.70146149066645
AFONSO BEZERRA,RN,Nordeste,2400307,11211,0,0,0,0,0,Nenhum,0,0
AFONSO CLÁUDIO,ES,Sudeste,3200102,32361,1,0,1,0,1,Vários,3,9.27041809585612
AFONSO CUNHA,MA,Nordeste,2100105,6486,0,0,0,0,0,Nenhum,0,0
AFRÂNIO,PE,Nordeste,2600203,19411,0,0,1,0,0,Um,1,5.15171809798568
AFUÁ,PA,Norte,1500305,38144,0,0,0,0,0,Nenhum,0,0
AGRESTINA,PE,Nordeste,2600302,24644,0,0,0,0,0,Nenhum,0,0
AGRICOLÂNDIA,PI,Nordeste,2200103,5062,0,0,0,0,0,Nenhum,0,0
AGROLÂNDIA,SC,Sul,4200200,10581,0,0,0,0,1,Um,1,9.45090256119459
AGRONÔMICA,SC,Sul,4200309,5437,0,0,0,0,1,Um,1,18.3924958616884
ÁGUA AZUL DO NORTE,PA,Norte,1500347,26682,0,0,0,0,0,Nenhum,0,0
ÁGUA BOA,MG,Sudeste,3100609,14370,0,0,0,0,0,Nenhum,0,0
ÁGUA BOA,MT,Centro-Oeste,5100201,24501,1,0,1,0,1,Vários,3,12.2443981878291
ÁGUA BRANCA,AL,Nordeste,2700102,20467,0,0,0,0,0,Nenhum,0,0
ÁGUA BRANCA,PB,Nordeste,2500106,10258,0,0,0,0,0,Nenhum,0,0
ÁGUA BRANCA,PI,Nordeste,2200202,17119,0,1,1,0,0,Vários,2,11.6829254045213
ÁGUA CLARA,MS,Centro-Oeste,5000203,14992,0,0,0,0,1,Um,1,6.67022411953042
ÁGUA COMPRIDA,MG,Sudeste,3100708,2058,0,0,0,0,0,Nenhum,0,0
ÁGUA DOCE,SC,Sul,4200408,7154,0,0,0,0,1,Um,1,13.978194017333
ÁGUA DOCE DO MARANHÃO,MA,Nordeste,2100154,12457,0,0,0,0,0,Nenhum,0,0
ÁGUA DOCE DO NORTE,ES,Sudeste,3200169,11893,0,0,0,0,0,Nenhum,0,0
ÁGUA FRIA,BA,Nordeste,2900405,17508,0,0,0,0,0,Nenhum,0,0
ÁGUA FRIA DE GOIÁS,GO,Centro-Oeste,5200175,5613,0,0,0,0,0,Nenhum,0,0
ÁGUA LIMPA,GO,Centro-Oeste,5200209,1967,0,0,0,0,0,Nenhum,0,0
ÁGUA NOVA,RN,Nordeste,2400406,3260,0,0,0,0,0,Nenhum,0,0
ÁGUA PRETA,PE,Nordeste,2600401,36371,0,0,0,0,0,Nenhum,0,0
ÁGUA SANTA,RS,Sul,4300059,3841,0,0,0,0,0,Nenhum,0,0
AGUAÍ,SP,Sudeste,3500303,35508,4,0,1,0,0,Vários,5,14.081333783936
AGUANIL,MG,Sudeste,3100807,4440,0,0,0,0,1,Um,1,22.5225225225225
ÁGUAS BELAS,PE,Nordeste,2600500,43087,0,0,0,0,1,Um,1,2.32088564996403
ÁGUAS CLARAS,DF,Centro-Oeste,NA,NA,1,0,0,0,0,Um,1,NA
ÁGUAS DA PRATA,SP,Sudeste,3500402,8104,0,0,1,0,1,Vários,2,24.6791707798618
ÁGUAS DE CHAPECÓ,SC,Sul,4200507,6445,0,0,0,0,1,Um,1,15.5159038013964
ÁGUAS DE LINDÓIA,SP,Sudeste,3500501,18509,1,0,0,0,1,Vários,2,10.8055540547842
ÁGUAS DE SANTA BÁRBARA,SP,Sudeste,3500550,6009,0,0,0,0,1,Um,1,16.6417041105009
