Partido,Tipo,Total pago
REDE,LANCHES E REFEIÇÕES ,1089
REDE,MATERIAL DE CONSUMO ,1711.66
REDE,SERVIÇOS TÉCNICO-PROFISSIONAIS ,6103
REDE,TRANSPORTES E VIAGENS ,13057.03
REPUBLICANOS,ALUGUÉIS E CONDOMÍNIOS ,39899.57
REPUBLICANOS,ATIVO PERMANENTE ,16971.9
REPUBLICANOS,DESPESAS FINANCEIRAS ,3623.7
REPUBLICANOS,ENERGIA ELÉTRICA ,1192.85
REPUBLICANOS,EVENTOS PROMOCIONAIS ,11255
REPUBLICANOS,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,1225
REPUBLICANOS,MATERIAL DE CONSUMO ,20803.3
REPUBLICANOS,OUTRAS DESPESAS GERAIS ,6057.76
REPUBLICANOS,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,59100
REPUBLICANOS,PESSOAL ,17923.04
REPUBLICANOS,SERVIÇOS TÉCNICO-PROFISSIONAIS ,4900
REPUBLICANOS,TELECOMUNICAÇÕES E INTERNET ,10600.96
REPUBLICANOS,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,2200
REPUBLICANOS,TRANSPORTES E VIAGENS ,16486
SDD,ALUGUÉIS E CONDOMÍNIOS ,36720
SDD,ATIVO PERMANENTE ,4676
SDD,DESPESAS FINANCEIRAS ,1353.5
SDD,ENERGIA ELÉTRICA ,923.28
SDD,MATERIAL DE CONSUMO ,8937.79
SDD,PESQUISAS E TESTES DE OPINIÃO PÚBLICA ,9500
SDD,PUBLICAÇÕES ,240
SDD,RECOLHIMENTOS AO ERÁRIO ,209.2
SDD,SEGURANÇA E VIGILÂNCIA ,522.42
SDD,SERVIÇOS DE LIMPEZA ,1800
SDD,SERVIÇOS TÉCNICO-PROFISSIONAIS ,44037.5
SDD,TELECOMUNICAÇÕES E INTERNET ,5449.31
SDD,TRANSPORTES E VIAGENS ,7000
